iter	Passed	Remaining
742	1045	361
743	1046	360
744	1048	358
745	1049	357
746	1050	355
747	1051	354
748	1052	352
749	1053	351
750	1054	349
751	1055	347
752	1056	346
753	1057	344
754	1058	343
755	1059	341
756	1060	340
757	1061	338
758	1062	337
759	1064	336
760	1065	334
761	1066	333
762	1067	331
763	1069	330
764	1071	329
765	1073	328
766	1075	326
767	1077	325
768	1078	324
769	1080	322
770	1081	321
771	1083	319
772	1086	318
773	1087	317
774	1089	316
775	1091	314
776	1092	313
777	1093	312
778	1095	310
779	1097	309
780	1099	308
781	1100	306
782	1102	305
783	1103	304
784	1105	302
785	1107	301
786	1108	299
787	1109	298
788	1111	297
789	1113	295
790	1115	294
791	1116	293
792	1117	291
793	1118	290
794	1119	288
795	1120	287
796	1121	285
797	1122	284
798	1123	282
799	1124	281
800	1124	279
801	1126	278
802	1127	276
803	1128	275
804	1130	273
805	1131	272
806	1132	270
807	1133	269
808	1134	267
809	1136	266
810	1137	264
811	1138	263
812	1139	262
813	1140	260
814	1141	259
815	1143	257
816	1145	256
817	1146	255
818	1147	253
819	1148	252
820	1150	250
821	1151	249
822	1152	247
823	1154	246
824	1155	245
825	1156	243
826	1158	242
827	1159	240
828	1161	239
829	1162	238
830	1164	236
831	1165	235
832	1166	233
833	1167	232
834	1168	230
835	1169	229
836	1170	227
837	1171	226
838	1173	225
839	1174	223
840	1175	222
841	1176	220
842	1177	219
843	1178	217
844	1179	216
845	1180	214
846	1181	213
847	1182	211
848	1183	210
849	1184	208
850	1185	207
851	1186	206
852	1187	204
853	1188	203
854	1189	201
855	1190	200
856	1191	198
857	1192	197
858	1193	195
859	1194	194
860	1195	193
861	1196	191
862	1197	190
863	1198	188
864	1199	187
865	1200	185
866	1201	184
867	1202	182
868	1203	181
869	1204	179
870	1205	178
871	1206	177
872	1207	175
873	1208	174
874	1209	172
875	1210	171
876	1211	169
877	1212	168
878	1213	167
879	1214	165
880	1215	164
881	1216	162
882	1217	161
883	1218	159
884	1219	158
885	1220	157
886	1221	155
887	1222	154
888	1223	152
889	1224	151
890	1225	149
891	1226	148
892	1227	147
893	1228	145
894	1229	144
895	1230	142
896	1231	141
897	1232	139
898	1233	138
899	1234	137
900	1234	135
901	1235	134
902	1236	132
903	1237	131
904	1238	130
905	1239	128
906	1240	127
907	1241	125
908	1242	124
909	1243	123
910	1244	121
911	1245	120
912	1246	118
913	1247	117
914	1248	115
915	1249	114
916	1250	113
917	1251	111
918	1252	110
919	1253	108
920	1254	107
921	1255	106
922	1256	104
923	1257	103
924	1258	102
925	1259	100
926	1260	99
927	1261	97
928	1262	96
929	1263	95
930	1264	93
931	1265	92
932	1266	90
933	1267	89
934	1267	88
935	1268	86
936	1269	85
937	1271	84
938	1272	82
939	1273	81
940	1274	79
941	1274	78
942	1275	77
943	1276	75
944	1277	74
945	1278	72
946	1279	71
947	1280	70
948	1281	68
949	1282	67
950	1283	66
951	1284	64
952	1285	63
953	1286	62
954	1287	60
955	1288	59
956	1289	57
957	1290	56
958	1291	55
959	1292	53
960	1293	52
961	1294	51
962	1295	49
963	1296	48
964	1297	47
965	1298	45
966	1299	44
967	1300	43
968	1301	41
969	1302	40
970	1304	38
971	1305	37
972	1305	36
973	1307	34
974	1308	33
975	1309	32
976	1310	30
977	1311	29
978	1312	28
979	1313	26
980	1314	25
981	1315	24
982	1316	22
983	1317	21
984	1318	20
985	1319	18
986	1320	17
987	1321	16
988	1322	14
989	1323	13
990	1324	12
991	1325	10
992	1326	9
993	1327	8
994	1328	6
995	1330	5
996	1331	4
997	1332	2
998	1333	1
999	1334	0
